stop_id,stop_calle,stop_numero,stop_frente,stop_esquina,stop_entre_a,stop_entre_b
4738,Meluzardi,6102,,,Juan Casoalet,Parmigiani
4259,Fray Angelico,4123,,,Escalante,Sanzio
4258,Melincue,950,,,Peñaloza,Fray Angelico
4253,Minuzzi,288,,,Berro,Belardinelli
4255,Melincue,410,,,Belardinelli,Publica
4254,Belardinelli,4311,,,Publica,Melincue
4257,Melincue,790,,,Publica,Peñaloza
4256,Melincue,590,,,Publica,Schneider
4521,Diego Diaz,591,,,Diego de Vera,Alonzo de Ubeda
5441,Serrezuela,4915,,,Mario Bravo,Ramos Mejia
5440,Serrezuela,5117,,,Cangallo,Callao
5506,Duarte Quiroz,4279,,,Jose Fernandez,Garcia Martinez
5519,Amadeo Avogadro,5690,,,Dionisio Papin,Gauss
5518,Amadeo Avogadro,5690,,,Dionisio Papin,Gauss
4298,Gaspar de Medina,534,,,,
4743,Calle 5,,,Calle 13,Calle 14,Calle 13
4746,Calle 10,,,,Calle 12,Calle 11
5289,Callao,1417,,,Alejo Bruix,Entre Rios
5287,Boedo,1590,,,Alejo Bruix,Agustin Garzon
5268,Martin Cartechini,726,,,Domingo Mateu,Pasaje Saenz Peña
4354,Melincue,305,,,Pedro Echague,Belardineli
4355,Belardineli,4484,,,Minuzzi,Melincue
4357,Baravino,4913,,Manuel Lainez,Calle 4,Manuel Lainez
4350,Fray Angelico,4242,,,Pública,Amengual
4351,Amengual,,,Peñaloza,,
4352,Fenoglio,,,Melincue,,
4353,Melincue,438,,,Carlos Bunge,Pedro Echague
4174,27 de Abril,288,,,V.Sarfield,Belgrano
4173,27 de Abril,25,,,Independencia,Ob. Trejo
5661,Aeropuerto,,,,,
5660,Av La Voz del Interior,,,Ingreso al Aeropuerto,,
4348,Fray Angelico,4094,,,Ticiano Vecelli,Rafael Sancio
4761,Perazzo,4651,,,Candonga,Manuel López
5390,Jose Aycardoz,2324,,,Medrano,Talacasto
5658,Av La Voz del Interior,8216,,,Costa Canal,Calle Publica
5659,Av La Voz del Interior,8447,,R.A.N.O.,,
5232,Calandria,491,,,Juan Cano,Humberto 1º
5346,Ghandi,,,Manzana 70 y 71,,
5347,Ghandi,,,Manzana 84 y 83,,
5340,República de China,,,Rotonda Bº  El Amanecer,,
5646,Ramos Mejías,1586,,Agustín Garzón,Alejo Bruix,Agustín Garzón
5655,Av La Voz del Interior,6848,,,Bs As,Av del Japon
5657,Av La Voz del Interior,7661,,,Av del Japon,Costa Canal
4544,Juan Domingo Perón,290,,Terminal de Omnibus,Poeta Lugones,Tránsito Caceres
4547,Bv Los Andes,1507,,,Palestina,Bedoya
5106,Colón,2773,,,Garzón Maceda,Monseñor de Andrea
4056,Fray Luis Beltrán,2948,,,Pedro Cavia,Santiago Baravino
4455,Miguel de Mojica,1331,,,Rodriguez de Ruescas,Suarez Mejias
5416,Solares,1417,,,Agustin Garzon,Entre Rios
4468,Hipolito Irigoyen,660,,,Plaza España,Crisol
4469,Valparaiso,,,Cs. Economicas,Los Nogales,Haya de la Torre
4466,Pedro Cavia,4305,,,Lascano Colodrero,Cesar Carrizo
4467,Pedro Cavia,4140,,,Cesar Carrizo,Fray Luis Beltran
4464,Lascano Colodrero,2692,,,Varela Berro,Hugo Miatelo
4465,Lascano Colodrero,2784,,Pedro Cavia,Carri Perez,Pedro Cavia
4463,Lascano Colodrero,2532,,,Monseñor Pablo Cabrera,Ciudad de Genova
4482,Igarzabal,789,,,Valparaiso,Angel Colovini
4875,Cno. San Carlos,5805,,Madre Sacramento,,
5654,Av La Voz del Interior,6608,,,Los Calabreses,Bs As
4271,Belardinelli,2902,,,Quirno Costa,Cruz Roja Argentina
