"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_color","route_text_color","active"
"10","coniferal","10",,,"Bus",,,"TRUE"
"11","coniferal","11",,,"Bus",,,"TRUE"
"12","coniferal","12",,,"Bus",,,"TRUE"
"13","coniferal","13",,,"Bus",,,"TRUE"
"14","coniferal","14",,,"Bus",,,"TRUE"
"15","coniferal","15",,,"Bus",,,"TRUE"
"16","coniferal","16",,,"Bus",,,"TRUE"
"17","coniferal","17",,,"Bus",,,"TRUE"
"18","coniferal","18",,,"Bus",,,"TRUE"
"19","coniferal","19",,,"Bus",,,"TRUE"
"20","ccba","20",,,"Bus",,,"TRUE"
"21","ccba","21",,,"Bus",,,"TRUE"
"22","ccba","22",,,"Bus",,,"TRUE"
"23","ccba","23",,,"Bus",,,"TRUE"
"24","ccba","24",,,"Bus",,,"TRUE"
"25","ccba","25",,,"Bus",,,"TRUE"
"26","ccba","26",,,"Bus",,,"TRUE"
"27","ccba","27",,,"Bus",,,"TRUE"
"28","ccba","28",,,"Bus",,,"TRUE"
"29","ccba","29",,,"Bus",,,"TRUE"
"30","ersa","30",,,"Bus","",,"TRUE"
"31","ersa","31",,,"Bus",,,"TRUE"
"32","ersa","32",,,"Bus",,,"TRUE"
"33","ersa","33",,,"Bus",,,"TRUE"
"34","ersa","34",,,"Bus",,,"TRUE"
"35","ersa","35",,,"Bus",,,"TRUE"
"36","ersa","36",,,"Bus",,,"TRUE"
"40","asf","40",,,"Bus",,,"TRUE"
"41","asf","41",,,"Bus",,,"TRUE"
"42","asf","42",,,"Bus",,,"TRUE"
"43","asf","43",,,"Bus",,,"TRUE"
"44","asf","44",,,"Bus",,,"TRUE"
"50","asf","50",,,"Bus",,,"TRUE"
"500","asf","500",,,"Bus",,,"TRUE"
"501","asf","501",,,"Bus",,,"TRUE"
"51","asf","51",,,"Bus",,,"TRUE"
"52","asf","52",,,"Bus",,,"TRUE"
"53","asf","53",,,"Bus",,,"TRUE"
"54","asf","54",,,"Bus",,,"TRUE"
"55","asf","55",,,"Bus",,,"TRUE"
"60","coniferal","60",,,"Bus",,,"TRUE"
"600","asf","600",,,"Bus",,,"TRUE"
"601","asf","601",,,"Bus",,,"TRUE"
"61","coniferal","61",,,"Bus",,,"TRUE"
"62","coniferal","62",,,"Bus",,,"TRUE"
"63","coniferal","63",,,"Bus",,,"TRUE"
"64","coniferal","64",,,"Bus",,,"TRUE"
"65","coniferal","65",,,"Bus",,,"TRUE"
"66","coniferal","66",,,"Bus",,,"TRUE"
"67","coniferal","67",,,"Bus",,,"TRUE"
"68","coniferal","68",,,"Bus",,,"TRUE"
"70","ccba","70",,,"Bus",,,"TRUE"
"71","ccba","71",,,"Bus",,,"TRUE"
"72","ccba","72",,,"Bus",,,"TRUE"
"73","ccba","73",,,"Bus",,,"TRUE"
"74","ccba","74",,,"Bus",,,"TRUE"
"75","ccba","75",,,"Bus",,,"TRUE"
"80","ersa","80",,,"Bus",,,"TRUE"
"81","ersa","81",,,"Bus",,,"TRUE"
"82","ersa","82",,,"Bus",,,"TRUE"
"83","ersa","83",,,"Bus",,,"TRUE"
"84","ersa","84",,,"Bus",,,"TRUE"
"b20","ccba","b20",,,"Bus",,,"TRUE"
"b30","ersa","b30",,,"Bus",,,"TRUE"
"b60","coniferal","b60",,,"Bus",,,"TRUE"
"b61","coniferal","b61",,,"Bus",,,"TRUE"
"b70","ccba","b70",,,"Bus",,,"TRUE"
"b80","ersa","b80",,,"Bus",,,"TRUE"
"d10","coniferal","d10",,,"Bus",,,"TRUE"
"d20","ccba","d20",,,"Bus",,,"TRUE"
"d30","ersa","d30",,,"Bus",,,"TRUE"
"d50","asf","d50",,,"Bus",,,"TRUE"
"d80","ersa","d80",,,"Bus",,,"TRUE"
"TA","tamse","TA","Trolebus A","","800","6F419A","FFFFFF","TRUE"
"TB","tamse","TB","Trolebus B",,"800","6F419A","FFFFFF","TRUE"
"TC","tamse","TC","Trolebus C",,"800","6F419A","FFFFFF","TRUE"
