route_id,pico,restante,fijo,nocturno
10,11,15,30,60
11,14,25,30,120
12,14,25,30,
13,20,30,45,
14,13,20,45,120
15,16,25,30,
16,23,30,45,
17,22,30,45,
18,15,20,30,120
19,20,30,45,
20,10,15,25,60
21,15,20,30,
22,14,20,30,
23,15,20,45,
24,14,20,45,
25,15,20,45,
26,12,15,30,120
27,12,15,30,
28,15,20,30,120
29,35,35,45,
30,7,11,20,60
31,10,15,30,
32,10,15,30,
33,12,20,30,
34,14,20,30,
35,9,15,30,120
36,16,20,35,
40,7,13,20,60
41,9,13,30,120
42,8,15,30,
43,7,12,30,120
44,10,15,30,
50,6,10,20,60
500,30,30,,
501,30,30,,
51,10,15,30,
52,10,15,30,120
53,8,15,30,
54,15,20,30,
55,15,20,,
60,9,15,20,60
600,15,20,30,
601,15,20,30,
61,20,25,30,
62,10,15,30,120
63,17,20,30,
64,15,20,30,120
65,14,20,30,120
66,16,20,30,
67,15,20,45,
68,25,45,,
70,8,13,20,60
71,12,17,30,120
72,13,17,30,
73,20,30,30,
74,14,20,30,
75,13,17,30,
80,8,12,20,60
81,9,15,20,
82,15,20,30,60
83,15,25,45,
84,12,17,30,
b20,20,30,,
b30,20,20,,
b60,58,60,,
b61,30,60,,
b70,20,30,,
b80,20,30,,
d10,14,25,,
d20,20,25,,
d30,15,20,,
d50,15,20,,
d80,15,20,,
TA,7,13,25,
TB,7,12,25,
TC,9,15,25,
